region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Московская область,43506.3,99.9,49282.3,91.1,593.3,145221.5,39.95,11.45,493440.4,14.8,1.0,0.9569999999999999,70404.4,88.7,425.0,2.8,79399.6,7053719.5,16.0,49.9,5.7,44.4,6307575043.0,289690.0,18.4,701.7,-1.5,0.265,0.03574,1626000.0,19.049999999999997,28.05,10.65,1.85,22.450000000000003,7117.0,40.45
Мурманская область,40922.5,98.6,56300.3,92.0,90.3,11620.7,57.15,7.5499997,588692.7,17.7,2.4,1.8483,85433.1,65.2,485.8,8.5,8342.1,814891.2,15.8,43.7,0.4,55.8,1113866414.3,218586.0,21.5,1177.8,-5.3,0.178,0.00607,146595.0,19.0,26.6,5.4,2.55,5.5,5028.5,41.85
Ненецкий автономный округ,76707.7,98.9,80050.5,94.4,8.5,1157.0,151.15,1.15,5321754.3,20.9,5.9,0.0,140189.4,901.4,948.4,0.0,670.8,42583.7,9.1,45.6,2.0,52.4,646325344.1,205996.0,15.0,1658.2,-2.1,0.175,0.0005,10850.0,16.05,26.4,9.6,4.05,16.45,6669.5,38.5
Нижегородская область,31542.7,97.2,31838.2,90.0,367.0,83784.3,46.2,7.15,370829.1,17.5,0.5,0.16720000000000002,91170.5,442.4,339.8,12.4,34570.0,3359866.9,16.3,31.7,3.8,64.5,3021552046.8,216635.0,21.3,910.8,-1.8,0.214,0.02022,602895.0,16.95,21.4,16.950000000000003,2.7,13.3,33356.0,25.15
Новгородская область,25706.0,95.8,30229.3,90.8,73.8,19206.7,68.15,11.1,370830.6,17.6,0.4,0.0,89095.0,203.2,412.7,14.3,6602.9,646057.1,19.5,40.1,1.3,58.6,446342037.5,183923.0,22.2,1393.7,-4.3,0.236,0.0058,117204.0,16.7,19.8,20.7,3.35,15.2,5601.0,39.7
Новосибирская область,28499.3,100.2,34463.3,90.4,326.7,71570.8,31.7,21.25,376551.8,16.3,1.8,1.3679999999999999,76265.0,120.6,357.5,6.9,33832.6,2716276.4,25.0,34.1,4.4,61.5,1359138831.4,181243.0,21.5,1113.2,-6.3,0.234,0.02109,578667.0,18.1,19.799999999999997,12.3,3.25,24.7,7321.0,37.0
Омская область,25742.5,96.9,31826.2,91.2,257.9,49941.8,29.5,7.25,324413.7,16.9,0.8,0.27180000000000004,88733.5,266.3,402.1,7.8,24406.6,2003814.4,19.1,38.8,5.1,56.2,1925544564.2,169246.0,26.1,1177.6,-5.2,0.226,0.01579,410755.0,18.05,23.0,35.5,4.25,28.1,18824.0,32.0
Оренбургская область,23430.8,97.6,29429.0,92.0,292.5,60729.3,96.55,4.1,418312.6,19.0,1.8,1.2730000000000001,78544.5,314.5,783.3,17.7,25405.2,2058515.4,21.9,42.8,3.3,53.9,1810758533.3,152342.0,25.0,1251.8,-1.1,0.235,0.01701,411451.0,15.55,17.95,33.9,2.6,21.75,7110.5,29.85
Орловская область,24481.8,98.8,26455.2,89.3,85.1,21922.8,92.3,4.45,276731.8,18.8,1.4,0.0,95950.0,281.4,661.8,9.8,7664.9,797591.1,20.4,41.5,8.0,50.5,270700776.8,167366.0,23.2,757.0,-4.9,0.176,0.00388,134170.0,17.55,18.3,11.8,2.3,19.65,8018.0,24.3
Пензенская область,22056.0,98.3,27877.7,90.7,137.8,33306.0,120.100006,7.45,257893.0,16.9,0.2,0.0,73892.6,83.3,888.3,11.9,12941.9,1390365.0,24.6,32.7,12.8,54.5,499198759.8,152728.0,21.0,897.2,-1.4,0.163,0.00821,231064.0,18.7,16.8,23.8,3.7,32.65,6397.0,29.05
